01_5_5_100_UDS_08
RE: 100.000000
ITERACTIONS: 26
VARIABLES = "X", "Y", "U", "V", "P"
ZONE F=POINT, I=5, J=5
0.100000,0.100000,-0.019169,0.019173,-0.009280
0.300000,0.100000,-0.057130,0.018797,-0.007833
0.500000,0.100000,-0.076719,0.000799,-0.002164
0.700000,0.100000,-0.059965,-0.017555,0.003760
0.900000,0.100000,-0.021207,-0.021212,0.006114
0.100000,0.300000,-0.043395,0.081747,-0.010730
0.300000,0.300000,-0.118572,0.069382,-0.008296
0.500000,0.300000,-0.150545,0.001788,-0.002260
0.700000,0.300000,-0.119105,-0.066747,0.003823
0.900000,0.300000,-0.043738,-0.086168,0.006349
0.100000,0.500000,-0.054868,0.180023,-0.018918
0.300000,0.500000,-0.138468,0.129906,-0.012362
0.500000,0.500000,-0.166550,0.001327,-0.002402
0.700000,0.500000,-0.136071,-0.128220,0.007446
0.900000,0.500000,-0.053120,-0.183037,0.013483
0.100000,0.700000,-0.026890,0.261793,-0.037355
0.300000,0.700000,-0.048677,0.153545,-0.019831
0.500000,0.700000,-0.043018,0.000118,-0.002431
0.700000,0.700000,-0.046655,-0.153865,0.014880
0.900000,0.700000,-0.025425,-0.261589,0.031967
0.100000,0.900000,0.144346,0.144344,-0.074171
0.300000,0.900000,0.362917,0.074223,-0.027176
0.500000,0.900000,0.436919,-0.000220,-0.002370
0.700000,0.900000,0.361857,-0.074838,0.022540
0.900000,0.900000,0.143508,-0.143508,0.070078
