04_40_40_1000_UDS_05
RE: 1000.000000
ITERACTIONS: 1280
VARIABLES = "X", "Y", "U", "V", "P"
0.987500,0.062500,-0.000116,-0.000015,0.000293
0.012500,0.087500,-0.000208,0.000215,-0.000395
0.037500,0.087500,-0.000940,0.001283,-0.000421
0.062500,0.087500,-0.002315,0.002634,-0.000448
0.087500,0.087500,-0.004342,0.004037,-0.000476
0.112500,0.087500,-0.006991,0.005348,-0.000502
0.137500,0.087500,-0.010198,0.006484,-0.000525
0.162500,0.087500,-0.013872,0.007399,-0.000542
0.187500,0.087500,-0.017909,0.008070,-0.000553
0.212500,0.087500,-0.022194,0.008491,-0.000556
0.237500,0.087500,-0.026607,0.008665,-0.000552
0.262500,0.087500,-0.031033,0.008602,-0.000538
0.287500,0.087500,-0.035359,0.008317,-0.000516
0.312500,0.087500,-0.039482,0.007830,-0.000486
0.337500,0.087500,-0.043305,0.007160,-0.000448
0.362500,0.087500,-0.046744,0.006332,-0.000403
0.387500,0.087500,-0.049724,0.005368,-0.000352
0.412500,0.087500,-0.052184,0.004294,-0.000295
0.437500,0.087500,-0.054074,0.003132,-0.000234
0.462500,0.087500,-0.055356,0.001909,-0.000170
0.487500,0.087500,-0.056005,0.000648,-0.000104
0.512500,0.087500,-0.056009,-0.000625,-0.000038
0.537500,0.087500,-0.055368,-0.001885,0.000028
0.562500,0.087500,-0.054094,-0.003107,0.000092
0.587500,0.087500,-0.052213,-0.004268,0.000153
0.612500,0.087500,-0.049762,-0.005341,0.000210
0.637500,0.087500,-0.046792,-0.006303,0.000261
0.662500,0.087500,-0.043364,-0.007130,0.000306
0.687500,0.087500,-0.039553,-0.007797,0.000344
0.712500,0.087500,-0.035444,-0.008283,0.000374
0.737500,0.087500,-0.031132,-0.008566,0.000396
0.762500,0.087500,-0.026721,-0.008629,0.000409
0.787500,0.087500,-0.022323,-0.008457,0.000414
0.812500,0.087500,-0.018052,-0.008041,0.000411
0.837500,0.087500,-0.014027,-0.007377,0.000400
0.862500,0.087500,-0.010361,-0.006475,0.000383
0.887500,0.087500,-0.007157,-0.005358,0.000361
0.912500,0.087500,-0.004503,-0.004076,0.000335
0.937500,0.087500,-0.002458,-0.002711,0.000309
0.962500,0.087500,-0.001048,-0.001404,0.000282
0.987500,0.087500,-0.000251,-0.000382,0.000258
0.012500,0.112500,-0.000345,0.000764,-0.000357
0.037500,0.112500,-0.001447,0.002561,-0.000390
0.062500,0.112500,-0.003364,0.004642,-0.000422
0.087500,0.112500,-0.006059,0.006745,-0.000452
0.112500,0.112500,-0.009473,0.008696,-0.000478
0.137500,0.112500,-0.013518,0.010382,-0.000501
0.162500,0.112500,-0.018087,0.011739,-0.000517
0.187500,0.112500,-0.023056,0.012731,-0.000527
0.212500,0.112500,-0.028291,0.013346,-0.000530
0.237500,0.112500,-0.033656,0.013585,-0.000525
0.262500,0.112500,-0.039016,0.013464,-0.000512
0.287500,0.112500,-0.044241,0.013004,-0.000491
0.312500,0.112500,-0.049210,0.012233,-0.000463
0.337500,0.112500,-0.053811,0.011181,-0.000427
0.362500,0.112500,-0.057944,0.009884,-0.000384
0.387500,0.112500,-0.061524,0.008378,-0.000335
0.412500,0.112500,-0.064477,0.006699,-0.000282
0.437500,0.112500,-0.066744,0.004886,-0.000225
0.462500,0.112500,-0.068282,0.002977,-0.000164
0.487500,0.112500,-0.069060,0.001010,-0.000102
0.512500,0.112500,-0.069064,-0.000975,-0.000040
0.537500,0.112500,-0.068295,-0.002941,0.000022
0.562500,0.112500,-0.066766,-0.004849,0.000083
0.587500,0.112500,-0.064509,-0.006661,0.000140
0.612500,0.112500,-0.061566,-0.008337,0.000193
0.637500,0.112500,-0.057998,-0.009841,0.000242
0.662500,0.112500,-0.053877,-0.011136,0.000284
0.687500,0.112500,-0.049289,-0.012185,0.000320
0.712500,0.112500,-0.044334,-0.012954,0.000349
0.737500,0.112500,-0.039124,-0.013413,0.000370
0.762500,0.112500,-0.033779,-0.013534,0.000383
0.787500,0.112500,-0.028429,-0.013297,0.000388
0.812500,0.112500,-0.023208,-0.012689,0.000385
0.837500,0.112500,-0.018251,-0.011708,0.000375
0.862500,0.112500,-0.013690,-0.010369,0.000359
0.887500,0.112500,-0.009647,-0.008709,0.000337
0.912500,0.112500,-0.006227,-0.006797,0.000311
0.937500,0.112500,-0.003514,-0.004746,0.000282
0.962500,0.112500,-0.001560,-0.002732,0.000251
0.987500,0.112500,-0.000389,-0.001022,0.000220
0.012500,0.137500,-0.000481,0.001587,-0.000320
0.037500,0.137500,-0.001954,0.004306,-0.000360
0.062500,0.137500,-0.004409,0.007262,-0.000397
0.087500,0.137500,-0.007769,0.010174,-0.000430
0.112500,0.137500,-0.011939,0.012844,-0.000459
0.137500,0.137500,-0.016806,0.015141,-0.000482
0.162500,0.137500,-0.022240,0.016979,-0.000499
0.187500,0.137500,-0.028098,0.018313,-0.000509
0.212500,0.137500,-0.034230,0.019126,-0.000512
0.237500,0.137500,-0.040482,0.019419,-0.000507
0.262500,0.137500,-0.046705,0.019210,-0.000494
0.287500,0.137500,-0.052752,0.018529,-0.000474
0.312500,0.137500,-0.058490,0.017413,-0.000446
0.337500,0.137500,-0.063793,0.015905,-0.000412
0.362500,0.137500,-0.068550,0.014052,-0.000371
0.387500,0.137500,-0.072665,0.011905,-0.000324
0.412500,0.137500,-0.076057,0.009517,-0.000273
0.437500,0.137500,-0.078659,0.006939,-0.000218
0.462500,0.137500,-0.080423,0.004227,-0.000160
0.487500,0.137500,-0.081315,0.001434,-0.000101
0.512500,0.137500,-0.081320,-0.001386,-0.000041
0.537500,0.137500,-0.080437,-0.004179,0.000018
0.562500,0.137500,-0.078682,-0.006890,0.000076
0.587500,0.137500,-0.076090,-0.009465,0.000131
0.612500,0.137500,-0.072709,-0.011851,0.000182
0.637500,0.137500,-0.068605,-0.013995,0.000228
0.662500,0.137500,-0.063860,-0.015844,0.000269
0.687500,0.137500,-0.058570,-0.017349,0.000304
0.712500,0.137500,-0.052846,-0.018463,0.000331
0.737500,0.137500,-0.046812,-0.019143,0.000352
0.762500,0.137500,-0.040604,-0.019353,0.000364
0.787500,0.137500,-0.034366,-0.019064,0.000369
0.812500,0.137500,-0.028247,-0.018259,0.000367
0.837500,0.137500,-0.022400,-0.016939,0.000357
0.862500,0.137500,-0.016972,-0.015124,0.000340
0.887500,0.137500,-0.012107,-0.012862,0.000317
0.912500,0.137500,-0.007930,-0.010240,0.000289
0.937500,0.137500,-0.004551,-0.007395,0.000256
0.962500,0.137500,-0.002059,-0.004529,0.000221
0.987500,0.137500,-0.000522,-0.001933,0.000182
0.012500,0.162500,-0.000614,0.002680,-0.000286
0.037500,0.162500,-0.002447,0.006512,-0.000333
0.062500,0.162500,-0.005431,0.010487,-0.000376
0.087500,0.162500,-0.009444,0.014315,-0.000413
0.112500,0.162500,-0.014359,0.017782,-0.000444
0.137500,0.162500,-0.020032,0.020738,-0.000469
0.162500,0.162500,-0.026310,0.023088,-0.000487
0.187500,0.162500,-0.033029,0.024777,-0.000498
0.212500,0.162500,-0.040021,0.025782,-0.000501
0.237500,0.162500,-0.047116,0.026108,-0.000497
0.262500,0.162500,-0.054151,0.025776,-0.000484
0.287500,0.162500,-0.060967,0.024825,-0.000464
0.312500,0.162500,-0.067417,0.023303,-0.000437
0.337500,0.162500,-0.073367,0.021266,-0.000403
0.362500,0.162500,-0.078695,0.018776,-0.000363
0.387500,0.162500,-0.083298,0.015900,-0.000317
0.412500,0.162500,-0.087087,0.012705,-0.000267
0.437500,0.162500,-0.089992,0.009261,-0.000214
0.462500,0.162500,-0.091960,0.005640,-0.000158
0.487500,0.162500,-0.092955,0.001911,-0.000100
0.512500,0.162500,-0.092959,-0.001852,-0.000042
0.537500,0.162500,-0.091973,-0.005579,0.000016
0.562500,0.162500,-0.090014,-0.009199,0.000072
0.587500,0.162500,-0.087118,-0.012640,0.000125
0.612500,0.162500,-0.083338,-0.015832,0.000175
0.637500,0.162500,-0.078746,-0.018706,0.000221
0.662500,0.162500,-0.073429,-0.021192,0.000261
0.687500,0.162500,-0.067492,-0.023225,0.000294
0.712500,0.162500,-0.061054,-0.024745,0.000322
0.737500,0.162500,-0.054251,-0.025695,0.000342
0.762500,0.162500,-0.047229,-0.026028,0.000354
0.787500,0.162500,-0.040145,-0.025707,0.000359
0.812500,0.162500,-0.033164,-0.024712,0.000356
0.837500,0.162500,-0.026454,-0.023041,0.000345
0.862500,0.162500,-0.020182,-0.020719,0.000327
0.887500,0.162500,-0.014508,-0.017804,0.000302
0.912500,0.162500,-0.009586,-0.014396,0.000272
0.937500,0.162500,-0.005554,-0.010649,0.000235
0.962500,0.162500,-0.002537,-0.006785,0.000193
0.987500,0.162500,-0.000649,-0.003104,0.000146
0.012500,0.187500,-0.000742,0.004033,-0.000257
0.037500,0.187500,-0.002925,0.009167,-0.000312
0.062500,0.187500,-0.006424,0.014307,-0.000360
0.087500,0.187500,-0.011079,0.019158,-0.000402
0.112500,0.187500,-0.016727,0.023495,-0.000437
0.137500,0.187500,-0.023193,0.027160,-0.000464
0.162500,0.187500,-0.030299,0.030046,-0.000483
0.187500,0.187500,-0.037859,0.032094,-0.000495
0.212500,0.187500,-0.045686,0.033280,-0.000498
0.237500,0.187500,-0.053594,0.033611,-0.000494
0.262500,0.187500,-0.061406,0.033117,-0.000481
0.287500,0.187500,-0.068952,0.031844,-0.000461
0.312500,0.187500,-0.076073,0.029854,-0.000434
0.337500,0.187500,-0.082628,0.027218,-0.000400
0.362500,0.187500,-0.088487,0.024012,-0.000360
0.387500,0.187500,-0.093540,0.020321,-0.000315
0.412500,0.187500,-0.097696,0.016230,-0.000266
0.437500,0.187500,-0.100879,0.011826,-0.000213
0.462500,0.187500,-0.103033,0.007199,-0.000157
0.487500,0.187500,-0.104121,0.002438,-0.000100
0.512500,0.187500,-0.104125,-0.002367,-0.000042
0.537500,0.187500,-0.103044,-0.007127,0.000015
0.562500,0.187500,-0.100898,-0.011753,0.000071
0.587500,0.187500,-0.097723,-0.016154,0.000124
0.612500,0.187500,-0.093575,-0.020242,0.000173
0.637500,0.187500,-0.088531,-0.023929,0.000218
0.662500,0.187500,-0.082681,-0.027131,0.000258
0.687500,0.187500,-0.076137,-0.029764,0.000292
0.712500,0.187500,-0.069025,-0.031751,0.000319
0.737500,0.187500,-0.061490,-0.033023,0.000339
0.762500,0.187500,-0.053689,-0.033520,0.000351
0.787500,0.187500,-0.045790,-0.033195,0.000356
0.812500,0.187500,-0.037972,-0.032021,0.000352
0.837500,0.187500,-0.030419,-0.029994,0.000341
0.862500,0.187500,-0.023316,-0.027140,0.000321
0.887500,0.187500,-0.016848,-0.023523,0.000294
0.912500,0.187500,-0.011193,-0.019253,0.000260
0.937500,0.187500,-0.006522,-0.014495,0.000219
0.962500,0.187500,-0.002995,-0.009483,0.000171
0.987500,0.187500,-0.000769,-0.004521,0.000116
0.012500,0.212500,-0.000867,0.005639,-0.000235
0.037500,0.212500,-0.003389,0.012260,-0.000297
0.062500,0.212500,-0.007392,0.018710,-0.000352
0.087500,0.212500,-0.012679,0.024691,-0.000398
0.112500,0.212500,-0.019050,0.029974,-0.000436
0.137500,0.212500,-0.026300,0.034393,-0.000466
0.162500,0.212500,-0.034223,0.037837,-0.000487
0.187500,0.212500,-0.042610,0.040245,-0.000500
0.212500,0.212500,-0.051254,0.041596,-0.000504
0.237500,0.212500,-0.059954,0.041902,-0.000499
0.262500,0.212500,-0.068518,0.041200,-0.000487
0.287500,0.212500,-0.076764,0.039551,-0.000466
0.312500,0.212500,-0.084525,0.037030,-0.000438
0.337500,0.212500,-0.091652,0.033723,-0.000404
0.362500,0.212500,-0.098011,0.029726,-0.000363
0.387500,0.212500,-0.103486,0.025138,-0.000318
0.412500,0.212500,-0.107983,0.020066,-0.000267
0.437500,0.212500,-0.111423,0.014615,-0.000214
0.462500,0.212500,-0.113749,0.008893,-0.000158
0.487500,0.212500,-0.114923,0.003009,-0.000100
0.512500,0.212500,-0.114926,-0.002929,-0.000042
0.537500,0.212500,-0.113757,-0.008812,0.000016
0.562500,0.212500,-0.111437,-0.014532,0.000072
0.587500,0.212500,-0.108003,-0.019980,0.000125
0.612500,0.212500,-0.103513,-0.025049,0.000175
0.637500,0.212500,-0.098044,-0.029632,0.000221
0.662500,0.212500,-0.091692,-0.033625,0.000261
0.687500,0.212500,-0.084573,-0.036929,0.000296
0.712500,0.212500,-0.076819,-0.039448,0.000324
0.737500,0.212500,-0.068581,-0.041097,0.000344
0.762500,0.212500,-0.060025,-0.041801,0.000356
0.787500,0.212500,-0.051332,-0.041503,0.000361
0.812500,0.212500,-0.042694,-0.040167,0.000357
0.837500,0.212500,-0.034311,-0.037782,0.000344
0.862500,0.212500,-0.026389,-0.034374,0.000323
0.887500,0.212500,-0.019137,-0.030008,0.000293
0.912500,0.212500,-0.012760,-0.024800,0.000255
0.937500,0.212500,-0.007460,-0.018920,0.000209
0.962500,0.212500,-0.003436,-0.012609,0.000155
0.987500,0.212500,-0.000884,-0.006175,0.000092
0.012500,0.237500,-0.000988,0.007490,-0.000221
0.037500,0.237500,-0.003843,0.015781,-0.000291
0.062500,0.237500,-0.008343,0.023687,-0.000351
0.087500,0.237500,-0.014255,0.030908,-0.000403
0.112500,0.237500,-0.021343,0.037212,-0.000445
0.137500,0.237500,-0.029372,0.042430,-0.000477
0.162500,0.237500,-0.038105,0.046452,-0.000500
0.187500,0.237500,-0.047310,0.049218,-0.000513
0.212500,0.237500,-0.056758,0.050713,-0.000518
0.237500,0.237500,-0.066233,0.050957,-0.000513
0.262500,0.237500,-0.075527,0.050001,-0.000500
0.287500,0.237500,-0.084450,0.047918,-0.000478
0.312500,0.237500,-0.092826,0.044800,-0.000449
0.337500,0.237500,-0.100498,0.040752,-0.000413
0.362500,0.237500,-0.107330,0.035887,-0.000372
0.387500,0.237500,-0.113202,0.030326,-0.000324
0.412500,0.237500,-0.118017,0.024192,-0.000273
0.437500,0.237500,-0.121696,0.017611,-0.000218
0.462500,0.237500,-0.124182,0.010712,-0.000160
0.487500,0.237500,-0.125435,0.003621,-0.000101
0.512500,0.237500,-0.125437,-0.003533,-0.000041
0.537500,0.237500,-0.124187,-0.010623,0.000018
0.562500,0.237500,-0.121704,-0.017520,0.000075
0.587500,0.237500,-0.118029,-0.024098,0.000131
0.612500,0.237500,-0.113218,-0.030228,0.000182
0.637500,0.237500,-0.107350,-0.035786,0.000229
0.662500,0.237500,-0.100523,-0.040647,0.000271
0.687500,0.237500,-0.092855,-0.044692,0.000307
0.712500,0.237500,-0.084483,-0.047808,0.000335
0.737500,0.237500,-0.075565,-0.049891,0.000357
0.762500,0.237500,-0.066275,-0.050850,0.000370
0.787500,0.237500,-0.056804,-0.050615,0.000374
0.812500,0.237500,-0.047359,-0.049137,0.000370
0.837500,0.237500,-0.038156,-0.046397,0.000357
0.862500,0.237500,-0.029423,-0.042414,0.000334
0.887500,0.237500,-0.021392,-0.037252,0.000301
0.912500,0.237500,-0.014299,-0.031027,0.000259
0.937500,0.237500,-0.008379,-0.023914,0.000208
0.962500,0.237500,-0.003867,-0.016153,0.000147
0.987500,0.237500,-0.000996,-0.008055,0.000077
0.012500,0.262500,-0.001107,0.009582,-0.000216
0.037500,0.262500,-0.004293,0.019725,-0.000294
0.062500,0.262500,-0.009288,0.029232,-0.000361
0.087500,0.262500,-0.015822,0.037803,-0.000417
0.112500,0.262500,-0.023626,0.045204,-0.000462
0.137500,0.262500,-0.032431,0.051267,-0.000497
0.162500,0.262500,-0.041970,0.055884,-0.000522
0.187500,0.262500,-0.051985,0.059003,-0.000536
0.212500,0.262500,-0.062228,0.060617,-0.000540
0.237500,0.262500,-0.072463,0.060760,-0.000535
0.262500,0.262500,-0.082470,0.059498,-0.000521
0.287500,0.262500,-0.092048,0.056921,-0.000498
0.312500,0.262500,-0.101013,0.053139,-0.000467
0.337500,0.262500,-0.109205,0.048278,-0.000429
0.362500,0.262500,-0.116483,0.042471,-0.000385
0.387500,0.262500,-0.122728,0.035859,-0.000336
0.412500,0.262500,-0.127839,0.028587,-0.000281
0.437500,0.262500,-0.131741,0.020800,-0.000224
0.462500,0.262500,-0.134374,0.012645,-0.000164
0.487500,0.262500,-0.135700,0.004270,-0.000102
0.512500,0.262500,-0.135701,-0.004177,-0.000040
0.537500,0.262500,-0.134375,-0.012551,0.000022
0.562500,0.262500,-0.131743,-0.020703,0.000082
0.587500,0.262500,-0.127842,-0.028487,0.000139
0.612500,0.262500,-0.122731,-0.035757,0.000193
0.637500,0.262500,-0.116488,-0.042365,0.000243
0.662500,0.262500,-0.109211,-0.048168,0.000287
0.687500,0.262500,-0.101020,-0.053026,0.000324
0.712500,0.262500,-0.092056,-0.056806,0.000355
0.737500,0.262500,-0.082480,-0.059384,0.000378
0.762500,0.262500,-0.072474,-0.060651,0.000392
0.787500,0.262500,-0.062239,-0.060518,0.000397
0.812500,0.262500,-0.051997,-0.058921,0.000393
0.837500,0.262500,-0.041981,-0.055830,0.000378
0.862500,0.262500,-0.032441,-0.051253,0.000354
0.887500,0.262500,-0.023635,-0.045249,0.000318
0.912500,0.262500,-0.015828,-0.037930,0.000273
0.937500,0.262500,-0.009291,-0.029469,0.000216
0.962500,0.262500,-0.004294,-0.020109,0.000149
0.987500,0.262500,-0.001107,-0.010159,0.000071
0.012500,0.287500,-0.001227,0.011913,-0.000222
0.037500,0.287500,-0.004744,0.024091,-0.000307
0.062500,0.287500,-0.010235,0.035347,-0.000380
0.087500,0.287500,-0.017395,0.045378,-0.000441
0.112500,0.287500,-0.025917,0.053951,-0.000491
0.137500,0.287500,-0.035498,0.060901,-0.000528
0.162500,0.287500,-0.045842,0.066129,-0.000554
0.187500,0.287500,-0.056663,0.069591,-0.000569
0.212500,0.287500,-0.067690,0.071296,-0.000573
0.237500,0.287500,-0.078670,0.071294,-0.000566
0.262500,0.287500,-0.089371,0.069670,-0.000550
0.287500,0.287500,-0.099580,0.066534,-0.000525
0.312500,0.287500,-0.109109,0.062020,-0.000492
0.337500,0.287500,-0.117792,0.056274,-0.000451
0.362500,0.287500,-0.125489,0.049451,-0.000404
0.387500,0.287500,-0.132079,0.041715,-0.000351
0.412500,0.287500,-0.137465,0.033230,-0.000294
0.437500,0.287500,-0.141570,0.024164,-0.000233
0.462500,0.287500,-0.144337,0.014683,-0.000169
0.487500,0.287500,-0.145729,0.004954,-0.000104
0.512500,0.287500,-0.145728,-0.004858,-0.000038
0.537500,0.287500,-0.144334,-0.014586,0.000027
0.562500,0.287500,-0.141564,-0.024066,0.000091
0.587500,0.287500,-0.137457,-0.033129,0.000152
0.612500,0.287500,-0.132070,-0.041610,0.000209
0.637500,0.287500,-0.125477,-0.049343,0.000262
0.662500,0.287500,-0.117779,-0.056162,0.000309
0.687500,0.287500,-0.109093,-0.061906,0.000349
0.712500,0.287500,-0.099562,-0.066419,0.000382
0.737500,0.287500,-0.089351,-0.069556,0.000407
0.762500,0.287500,-0.078648,-0.071186,0.000423
0.787500,0.287500,-0.067666,-0.071198,0.000429
0.812500,0.287500,-0.056636,-0.069511,0.000425
0.837500,0.287500,-0.045813,-0.066077,0.000410
0.862500,0.287500,-0.035468,-0.060891,0.000384
0.887500,0.287500,-0.025886,-0.054000,0.000346
0.912500,0.287500,-0.017364,-0.045508,0.000297
0.937500,0.287500,-0.010206,-0.035587,0.000235
0.962500,0.287500,-0.004722,-0.024475,0.000162
0.987500,0.287500,-0.001218,-0.012485,0.000076
0.012500,0.312500,-0.001348,0.014485,-0.000240
0.037500,0.312500,-0.005200,0.028883,-0.000333
0.062500,0.312500,-0.011195,0.042036,-0.000412
0.087500,0.312500,-0.018988,0.053638,-0.000478
0.112500,0.312500,-0.028236,0.063456,-0.000531
0.137500,0.312500,-0.038597,0.071335,-0.000571
0.162500,0.312500,-0.049745,0.077183,-0.000598
0.187500,0.312500,-0.061365,0.080975,-0.000613
0.212500,0.312500,-0.073165,0.082737,-0.000616
0.237500,0.312500,-0.084872,0.082540,-0.000608
0.262500,0.312500,-0.096242,0.080493,-0.000589
0.287500,0.312500,-0.107054,0.076732,-0.000561
0.312500,0.312500,-0.117115,0.071413,-0.000524
0.337500,0.312500,-0.126257,0.064708,-0.000480
0.362500,0.312500,-0.134340,0.056797,-0.000429
0.387500,0.312500,-0.141245,0.047866,-0.000372
0.412500,0.312500,-0.146877,0.038100,-0.000310
0.437500,0.312500,-0.151164,0.027688,-0.000244
0.462500,0.312500,-0.154050,0.016815,-0.000176
0.487500,0.312500,-0.155500,0.005667,-0.000106
0.512500,0.312500,-0.155498,-0.005572,-0.000036
0.537500,0.312500,-0.154042,-0.016719,0.000034
0.562500,0.312500,-0.151151,-0.027590,0.000102
0.587500,0.312500,-0.146860,-0.037999,0.000167
0.612500,0.312500,-0.141222,-0.047762,0.000229
0.637500,0.312500,-0.134311,-0.056690,0.000286
0.662500,0.312500,-0.126224,-0.064598,0.000337
0.687500,0.312500,-0.117076,-0.071301,0.000382
0.712500,0.312500,-0.107009,-0.076619,0.000418
0.737500,0.312500,-0.096192,-0.080382,0.000446
0.762500,0.312500,-0.084817,-0.082435,0.000464
0.787500,0.312500,-0.073105,-0.082643,0.000472
