04_40_40_1000_UDS_05
RE: 1000.000000
ITERACTIONS: 1280
VARIABLES = "X", "Y", "U", "V", "P"
ZONE F=POINT, I=40, J=40
0.012500,0.012500,0.000053,-0.000054,-0.000474
0.037500,0.012500,0.000122,-0.000019,-0.000487
0.062500,0.012500,0.000077,0.000061,-0.000517
0.087500,0.012500,-0.000134,0.000147,-0.000555
0.112500,0.012500,-0.000510,0.000225,-0.000594
0.137500,0.012500,-0.001029,0.000291,-0.000630
0.162500,0.012500,-0.001665,0.000343,-0.000659
0.187500,0.012500,-0.002391,0.000380,-0.000679
0.212500,0.012500,-0.003177,0.000404,-0.000688
0.237500,0.012500,-0.003996,0.000414,-0.000685
0.262500,0.012500,-0.004824,0.000412,-0.000671
0.287500,0.012500,-0.005636,0.000399,-0.000645
0.312500,0.012500,-0.006412,0.000376,-0.000608
0.337500,0.012500,-0.007133,0.000344,-0.000560
0.362500,0.012500,-0.007781,0.000304,-0.000502
0.387500,0.012500,-0.008343,0.000258,-0.000436
0.412500,0.012500,-0.008807,0.000206,-0.000362
0.437500,0.012500,-0.009163,0.000150,-0.000283
0.462500,0.012500,-0.009404,0.000092,-0.000200
0.487500,0.012500,-0.009526,0.000031,-0.000114
0.512500,0.012500,-0.009527,-0.000030,-0.000028
0.537500,0.012500,-0.009406,-0.000090,0.000058
0.562500,0.012500,-0.009166,-0.000149,0.000141
0.587500,0.012500,-0.008811,-0.000205,0.000220
0.612500,0.012500,-0.008349,-0.000256,0.000293
0.637500,0.012500,-0.007789,-0.000302,0.000359
0.662500,0.012500,-0.007143,-0.000342,0.000417
0.687500,0.012500,-0.006426,-0.000374,0.000465
0.712500,0.012500,-0.005653,-0.000397,0.000502
0.737500,0.012500,-0.004844,-0.000410,0.000528
0.762500,0.012500,-0.004021,-0.000412,0.000542
0.787500,0.012500,-0.003205,-0.000402,0.000544
0.812500,0.012500,-0.002424,-0.000378,0.000535
0.837500,0.012500,-0.001703,-0.000341,0.000516
0.862500,0.012500,-0.001069,-0.000291,0.000487
0.887500,0.012500,-0.000551,-0.000226,0.000452
0.912500,0.012500,-0.000172,-0.000151,0.000414
0.937500,0.012500,0.000048,-0.000069,0.000377
0.962500,0.012500,0.000109,0.000008,0.000347
0.987500,0.012500,0.000051,0.000051,0.000331
0.012500,0.037500,0.000019,-0.000129,-0.000459
0.037500,0.037500,-0.000067,0.000065,-0.000474
0.062500,0.037500,-0.000452,0.000401,-0.000499
0.087500,0.037500,-0.001205,0.000763,-0.000529
0.112500,0.037500,-0.002327,0.001100,-0.000561
0.137500,0.037500,-0.003784,0.001387,-0.000589
0.162500,0.037500,-0.005523,0.001616,-0.000612
0.187500,0.037500,-0.007479,0.001783,-0.000628
0.212500,0.037500,-0.009586,0.001888,-0.000634
0.237500,0.037500,-0.011776,0.001934,-0.000631
0.262500,0.037500,-0.013985,0.001924,-0.000617
0.287500,0.037500,-0.016152,0.001863,-0.000592
0.312500,0.037500,-0.018222,0.001755,-0.000558
0.337500,0.037500,-0.020145,0.001606,-0.000514
0.362500,0.037500,-0.021877,0.001420,-0.000462
0.387500,0.037500,-0.023378,0.001204,-0.000401
0.412500,0.037500,-0.024618,0.000963,-0.000335
0.437500,0.037500,-0.025571,0.000703,-0.000263
0.462500,0.037500,-0.026217,0.000428,-0.000188
0.487500,0.037500,-0.026544,0.000146,-0.000110
0.512500,0.037500,-0.026546,-0.000140,-0.000032
0.537500,0.037500,-0.026222,-0.000422,0.000046
0.562500,0.037500,-0.025580,-0.000697,0.000121
0.587500,0.037500,-0.024632,-0.000957,0.000193
0.612500,0.037500,-0.023397,-0.001198,0.000259
0.637500,0.037500,-0.021901,-0.001413,0.000319
0.662500,0.037500,-0.020176,-0.001598,0.000371
0.687500,0.037500,-0.018260,-0.001747,0.000415
0.712500,0.037500,-0.016198,-0.001855,0.000449
0.737500,0.037500,-0.014039,-0.001916,0.000474
0.762500,0.037500,-0.011840,-0.001925,0.000488
0.787500,0.037500,-0.009660,-0.001880,0.000491
0.812500,0.037500,-0.007564,-0.001775,0.000485
0.837500,0.037500,-0.005616,-0.001610,0.000470
0.862500,0.037500,-0.003883,-0.001385,0.000447
0.887500,0.037500,-0.002427,-0.001104,0.000419
0.912500,0.037500,-0.001299,-0.000777,0.000388
0.937500,0.037500,-0.000532,-0.000428,0.000358
0.962500,0.037500,-0.000121,-0.000103,0.000334
0.987500,0.037500,-0.000001,0.000101,0.000319
0.012500,0.062500,-0.000081,-0.000070,-0.000431
0.037500,0.062500,-0.000460,0.000464,-0.000450
0.062500,0.062500,-0.001312,0.001232,-0.000475
0.087500,0.062500,-0.002683,0.002048,-0.000503
0.112500,0.062500,-0.004565,0.002812,-0.000530
0.137500,0.062500,-0.006911,0.003472,-0.000555
0.162500,0.062500,-0.009650,0.004002,-0.000574
0.187500,0.062500,-0.012693,0.004391,-0.000586
0.212500,0.062500,-0.015947,0.004636,-0.000591
0.237500,0.062500,-0.019316,0.004741,-0.000587
0.262500,0.062500,-0.022705,0.004713,-0.000573
0.287500,0.062500,-0.026026,0.004561,-0.000550
0.312500,0.062500,-0.029195,0.004296,-0.000518
0.337500,0.062500,-0.032138,0.003930,-0.000477
0.362500,0.062500,-0.034786,0.003476,-0.000429
0.387500,0.062500,-0.037083,0.002947,-0.000374
0.412500,0.062500,-0.038979,0.002357,-0.000313
0.437500,0.062500,-0.040436,0.001720,-0.000247
0.462500,0.062500,-0.041425,0.001048,-0.000178
0.487500,0.062500,-0.041926,0.000356,-0.000107
0.512500,0.062500,-0.041929,-0.000343,-0.000035
0.537500,0.062500,-0.041434,-0.001034,0.000036
0.562500,0.062500,-0.040451,-0.001706,0.000105
0.587500,0.062500,-0.039001,-0.002342,0.000171
0.612500,0.062500,-0.037112,-0.002932,0.000231
0.637500,0.062500,-0.034824,-0.003459,0.000287
0.662500,0.062500,-0.032185,-0.003912,0.000335
0.687500,0.062500,-0.029253,-0.004277,0.000375
0.712500,0.062500,-0.026095,-0.004541,0.000407
0.737500,0.062500,-0.022787,-0.004692,0.000430
0.762500,0.062500,-0.019411,-0.004720,0.000444
0.787500,0.062500,-0.016055,-0.004616,0.000448
0.812500,0.062500,-0.012814,-0.004373,0.000444
0.837500,0.062500,-0.009781,-0.003989,0.000432
0.862500,0.062500,-0.007050,-0.003467,0.000413
0.887500,0.062500,-0.004706,-0.002820,0.000389
0.912500,0.062500,-0.002818,-0.002074,0.000362
0.937500,0.062500,-0.001432,-0.001283,0.000335
0.962500,0.062500,-0.000549,-0.000540,0.000311
